"filename", "language", "Markdown", "C++", "C", "comment", "blank", "total"
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_abs_f32.c", "C", 0, 0, 39, 95, 32, 166
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_abs_q15.c", "C", 0, 0, 58, 81, 41, 180
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_abs_q31.c", "C", 0, 0, 34, 75, 22, 131
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_abs_q7.c", "C", 0, 0, 41, 89, 28, 158
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_add_f32.c", "C", 0, 0, 41, 86, 24, 151
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_add_q15.c", "C", 0, 0, 36, 79, 26, 141
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_add_q31.c", "C", 0, 0, 43, 79, 27, 149
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_add_q7.c", "C", 0, 0, 30, 79, 26, 135
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_dot_prod_f32.c", "C", 0, 0, 30, 84, 22, 136
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_dot_prod_q15.c", "C", 0, 0, 33, 83, 25, 141
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_dot_prod_q31.c", "C", 0, 0, 40, 81, 23, 144
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_dot_prod_q7.c", "C", 0, 0, 41, 88, 31, 160
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_mult_f32.c", "C", 0, 0, 46, 99, 30, 175
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_mult_q15.c", "C", 0, 0, 46, 81, 28, 155
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_mult_q31.c", "C", 0, 0, 57, 79, 25, 161
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_mult_q7.c", "C", 0, 0, 30, 77, 21, 128
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_negate_f32.c", "C", 0, 0, 38, 85, 24, 147
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_negate_q15.c", "C", 0, 0, 34, 84, 25, 143
"y:\workplace\24_platform_secrecy\01_fwlib\01_stm32\05_stm32f4\02_V1.9.0\CMSIS\DSP_Lib\Source\BasicMathFunctions\arm_negate_q31.c", "C", 0, 0, 34, 75, 21, 130
